0:0:0:0:0:0:0:1 - - [23/May/2019:13:05:52 +0800] "POST /web-logistics/getArr/getP.do HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [23/May/2019:13:05:52 +0800] "POST /web-logistics/getArr/getP.do HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [23/May/2019:13:05:52 +0800] "POST /web-logistics/getArr/getP.do HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [23/May/2019:13:05:52 +0800] "POST /web-logistics/getArr/getC.do HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [23/May/2019:13:05:52 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [23/May/2019:13:05:52 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/May/2019:13:05:52 +0800] "POST /web-logistics/getArr/getA.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/May/2019:13:06:52 +0800] "GET /web-logistics/admin/ifLogin.do HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/forward/index.do HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/bootstrap.min.css HTTP/1.1" 200 130313
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/cubeportfolio.min.css HTTP/1.1" 200 95385
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/style.css HTTP/1.1" 200 7089
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/logo.png HTTP/1.1" 200 7248
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/slide3.jpg HTTP/1.1" 200 64472
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/tf.css HTTP/1.1" 200 25544
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/jquery.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/bootstrap.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/jquery-1.8.3.min.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/jquery.banner.revolution.min.js HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/css/banner.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/slide2.jpg HTTP/1.1" 200 138983
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/js/jquery-1.8.3.min.js HTTP/1.1" 200 206698
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/slide1.jpg HTTP/1.1" 200 186247
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/fuw.png HTTP/1.1" 200 25258
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/slide4.jpg HTTP/1.1" 200 52974
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/fuw1.png HTTP/1.1" 200 18622
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/fuw2.png HTTP/1.1" 200 18687
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/fuw3.png HTTP/1.1" 200 19243
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/fuw4.png HTTP/1.1" 200 19271
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/ab.png HTTP/1.1" 200 418748
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/5.jpg HTTP/1.1" 200 97609
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/6.jpg HTTP/1.1" 200 77377
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/7.jpg HTTP/1.1" 200 64967
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/8.jpg HTTP/1.1" 200 54326
0:0:0:0:0:0:0:1 - - [23/May/2019:13:07:02 +0800] "GET /web-logistics/imgs/dai.jpg HTTP/1.1" 200 24701
